node_x,node_y,visits,img_x,img_y,dxf_x,dxf_y
30,44,310,152.5,680.5,,
8,138,307,42.5,210.5,,
26,139,267,132.5,205.5,,
6,93,261,32.5,435.5,,
56,0,220,282.5,900.5,,
121,62,208,607.5,590.5,,
85,13,200,427.5,835.5,,
33,87,194,167.5,465.5,,
3,6,190,17.5,870.5,,
86,133,182,432.5,235.5,,
112,47,174,562.5,665.5,,
69,104,168,347.5,380.5,,
83,37,167,417.5,715.5,,
103,128,162,517.5,260.5,,
105,4,151,527.5,880.5,,
115,86,147,577.5,470.5,,
66,134,139,332.5,230.5,,
56,137,138,282.5,215.5,,
72,6,138,362.5,870.5,,
29,79,136,147.5,505.5,,
